legacy_id,legacy_name,legacy_lat,legacy_lon,trip_count,modern_id,modern_name,match_score,match_confidence,match_distance_m
8080.01,Freeman St & Reverend James A Polite Ave,40.830529,-73.894717,5006,adb67652-c20d-4dd2-8e89-d6015b801c1a,Freeman St & Reverend James A Polite Ave,100.0,high,0.0
8483.02,Andrews Ave S & W 179 St,40.855156,-73.91278,4997,4753c893-e4bd-4d6a-bc4d-42209a19ebeb,Andrews Ave S & W 179 St,100.0,high,0.0
8734.04,Grand Concourse & E 203 St,40.87382,-73.88661,4985,92ffa9d6-8cb1-44cf-8059-391b03d58071,Grand Concourse & E 203 St,100.0,high,0.0
3934.07,Troy Ave & Park Pl,40.67251,-73.93642,4978,c7dbc7b5-240b-494d-8663-dbee4103a20c,Troy Ave & Park Pl,100.0,high,0.0
4203.04,Somers St & Broadway,40.67945,-73.90474,4959,7dcc5a03-5997-4250-9207-fa8b6f027c86,Somers St & Broadway,100.0,high,0.0
6502.01,55 St & Northern Blvd,40.75326,-73.90585,4958,26b3a82b-3487-44c2-85f1-eddb5a8a3a9d,55 St & Northern Blvd,100.0,high,0.0
4615.01,Wyckoff Ave & Cooper Ave,40.69338,-73.90061,4947,7b56cbab-9d93-4043-bfa5-63eb6b3e5281,Wyckoff Ave & Cooper Ave,100.0,high,0.0
7803.03,E 138 St & Canal St W,40.812304,-73.929153,4947,f3782e27-c49a-4ee9-b188-0c13cad54688,E 138 St & Park Ave,67.9,medium,37.8
6358.05,48 St & Barnett Ave,40.750016404259334,-73.91540944576263,4932,d7c12bf1-1ec8-496a-beca-90ba76c53241,48 St & Barnett Ave,100.0,high,0.0
8209.01,Morris Ave & E 171 St,40.83899,-73.9109,4931,b4b5824b-3c23-44b7-92a3-cec6a54583a0,Morris Ave & E 171 St,100.0,high,0.0
3532.02,2 Ave & 32 St,40.659176,-74.006584,4930,b200a8bf-2d79-4511-9a16-ac41e7245622,2 Ave & 32 St,100.0,high,0.0
3333,Columbia St & Lorraine St,40.6747055,-74.0075572,4915,66de0cab-0aca-11e7-82f6-3863bb44ef7c,Columbia St & Lorraine St,100.0,high,0.0
4483.1,Broadway & Madison St,40.68822,-73.91966,4913,679dcf08-d88c-4d1b-b81d-fe9f4aabbff7,Broadway & Madison St,100.0,high,0.0
8428.05,Sedgwick Ave & W Tremont Ave,40.85304455868985,-73.91830623149872,4909,6fb81fda-f0b5-4242-90f9-88d0214feb8d,Sedgwick Ave & W Tremont Ave,100.0,high,0.0
8507.02,Dyckman St & 10 Ave,40.85890447538412,-73.9230939745903,4879,f0115d11-c678-4274-8bb7-d486dbb63361,Dyckman St & 10 Ave,100.0,high,0.0
3408.05,Ocean Ave & Crooke Ave,40.65326,-73.96172,4879,1831178352265562334,Ocean Ave & Crooke Ave,100.0,high,0.0
8362.09,Jerome Ave & W 177 St,40.850121,-73.910765,4866,15cb007b-bfca-4ad7-bfc6-44bf3d36785a,Jerome Ave & W 177 St,100.0,high,0.0
