puma_2010_code,puma_2020_code,puma_2020_name,intersection_area_sqft,pct_of_2010_area
4005,04302,NYC-Brooklyn Community District 2--Downtown Brooklyn & Fort Greene PUMA,24116.680524582178,0.02105997297025798
4005,04121,NYC-Manhattan Community Districts 1 & 2--Financial District & Greenwich Village PUMA,14921.97590594965,0.013030666012340228
4005,04309,NYC-Brooklyn Community District 9--Crown Heights (South) PUMA,8500.678210458007,0.007423246045766002
4005,04314,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,997.6312618570701,0.0008711848791784854
4006,04308,NYC-Brooklyn Community District 8--Crown Heights (North) PUMA,46843099.305768326,75.73670938753031
4006,04303,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,10930176.172499087,17.67209233803053
4006,04309,NYC-Brooklyn Community District 9--Crown Heights (South) PUMA,4064232.4772661426,6.571119302009205
4006,04302,NYC-Brooklyn Community District 2--Downtown Brooklyn & Fort Greene PUMA,8972.641698756941,0.014507117736624846
4006,04306,NYC-Brooklyn Community District 6--Park Slope & Carroll Gardens PUMA,3446.1880484093103,0.005571854693334006
4007,04316,NYC-Brooklyn Community District 16--Ocean Hill & Brownsville PUMA,52776850.28017337,73.09121057695128
4007,04305,NYC-Brooklyn Community District 5--East New York & Cypress Hills PUMA,19405418.02529607,26.87476588108399
4007,04304,NYC-Brooklyn Community District 4--Bushwick PUMA,10897.289933875682,0.01509177052148218
4007,04308,NYC-Brooklyn Community District 8--Crown Heights (North) PUMA,5253.943972194755,0.007276241821794623
